Operaciones,Longs,Shorts,Ganadoras,Perdedoras,Saldo Final,Rentabilidad (%),RSI_CORTE,ADX_THRESHOLD,DI_PERCENTILE,DI_WINDOW,TP,SL,Win %,ProfitFactor
8,3,5,8,0,318.77,59.38,55,25,0.7,150,6,-12,100.0,8.0
9,4,5,8,1,265.94,32.97,45,22,0.5,150,5,-10,88.89,8.0
9,4,5,8,1,265.94,32.97,45,22,0.6,150,5,-10,88.89,8.0
9,4,5,8,1,271.85,35.93,45,22,0.6,150,5,-8,88.89,8.0
9,4,5,8,1,240.87,20.43,45,22,0.6,150,4,-12,88.89,8.0
9,4,5,8,1,246.34,23.17,45,22,0.6,150,4,-10,88.89,8.0
9,4,5,8,1,251.82,25.91,45,22,0.6,150,4,-8,88.89,8.0
9,3,6,8,1,251.82,25.91,55,22,0.4,50,4,-8,88.89,8.0
9,3,6,8,1,246.34,23.17,55,22,0.4,50,4,-10,88.89,8.0
9,3,6,8,1,240.87,20.43,55,22,0.4,50,4,-12,88.89,8.0
9,3,6,8,1,271.85,35.93,55,22,0.4,50,5,-8,88.89,8.0
9,3,6,8,1,265.94,32.97,55,22,0.4,50,5,-10,88.89,8.0
9,3,6,8,1,260.03,30.02,55,22,0.4,50,5,-12,88.89,8.0
9,4,5,8,1,260.03,30.02,45,22,0.5,150,5,-12,88.89,8.0
9,4,5,8,1,271.85,35.93,45,22,0.5,150,5,-8,88.89,8.0
9,4,5,8,1,280.72,40.36,45,25,0.6,100,5,-5,88.89,8.0
9,4,5,8,1,240.87,20.43,45,22,0.5,150,4,-12,88.89,8.0
9,4,5,8,1,246.34,23.17,45,22,0.5,150,4,-10,88.89,8.0
9,4,5,8,1,251.82,25.91,45,22,0.5,150,4,-8,88.89,8.0
9,4,5,8,1,260.03,30.02,45,22,0.5,100,5,-12,88.89,8.0
9,4,5,8,1,265.94,32.97,45,22,0.5,100,5,-10,88.89,8.0
9,4,5,8,1,271.85,35.93,45,22,0.5,100,5,-8,88.89,8.0
9,4,5,8,1,240.87,20.43,45,22,0.5,100,4,-12,88.89,8.0
